"Job Title","Salary","Location","Job Posted","Job Description"
"Finance Manager","£60000.00 - £70000.00 per annum","Aberdeen","21 November","Permanent Finance Manager position in Aberdeen, £60,000-70,000 DOE, Competitive pension and benefits Your new company Hays Senior Finance is recruiting on behalf of a local SME private business for a Finance Manager..."
"Mortgage Advisor","£36,000 DoE, plus excellent commission structure and benefits","Perth","21 November","Mortgage & Protection Broker OTE £60,000 The client is a leading Scottish Estate Agency firm and due to their continued success and client demand, are seeking to recruit a Mortgage & Protection Advisor for their..."
"Mortgage And Protection Advisor","£30,000 plus benefits and commission","Glasgow","21 November","Mortgage and Protection Advisor Glasgow Basic salary £30,000 with a very realistic OTE of £50,000 plus Glasgow's top Mortgage Brokerage is seeking a dynamic, sales focused Mortgage Advisor to join their very..."
"Administrator","","Dundee","21 November","Free car parking, generous 9% non-contributory pension, 34 days holiday, private healthcare, income protection life assurance and personal accident insurance. In addition you will have access to various flexible benefits..."
"Mortgage And Protection Advisor","Base £35,000 to £45,000 plus bonus and benefits","Edinburgh","21 November","Mortgage and Protection Advisor Edinburgh Base £35,000 to £45,000, plus bonus and benefits. Mortgage and Protection Advisor required by this well-established Edinburgh firm to work within their highly successful..."
"Mortgage Advisor","£36,000 DoE, plus excellent commission structure and benefits","Perth","21 November","Mortgage & Protection Broker OTE £60,000 The client is a leading Scottish Estate Agency firm and due to their continued success and client demand, are seeking to recruit a Mortgage & Protection Advisor for their..."
"Site Engineer Manager","£25 per hour","Edinburgh","21 November","Our client are looking for a Site Engineer with Management experience to start work on an on going project in Edinburgh City Centre. Working on a new build food retail store duties will include: - Setting out for foundations..."
"Mortgage Advisor","£36,000 DoE, plus excellent commission structure and benefits","Dundee","21 November","Mortgage & Protection Broker OTE £60,000 The client is a leading Scottish Estate Agency firm and due to their continued success and client demand, are seeking to recruit a Mortgage & Protection Advisor for their..."
"Restaurant Manager - Loch Ness House - Beefeater - Inverness","£30,000","Inverness","21 November","We are on the lookout for a fantastic Restaurant Manager to join this amazing team here at Loch Ness House. This is a real opportunity to join our fantastic brand and with exceptional growth..."
"Foster Carer","£240 - £460 per week.","Dundee","21 November","COULD YOU BECOME A FOSTER CARER? Do you feel you have the qualities to be a foster carer? If you want to improve outcomes for children and young people or have a genuine desire to care for others, then fostering may be for..."
"Team Leader","£18,868 - £21,364","Glasgow","21 November","The Mungo Foundation is a well-established charitable organisation, with over 40 years of experience supporting vulnerable individuals across Scotland. We employ over 700 staff, supporting approximately 1500 people a year,..."
"Team Member - Kitchen/41515405","Competitive","Edinburgh","21 November","We are on the hunt for a Kitchen Team Member to join our Brewers Fayre team! Kitchen Team Member - Brewers Fayre At Brewers Fayre, we serve our guests the nation's favourite pub food, at great value prices, in a..."
"Apply now","Roofer/Slater","Salary: £17000 up to £24500","Location: Edinburgh","Date posted: 21 November"
"Procurement Specialist","Up to £35000.00 per annum","Aberdeen","21 November","Procurement Specialist Aberdeen c.£35,000 12 month Fixed Term Contract Badenoch + Clark is delighted to be working with an established procurement function based in Aberdeen, to source an experienced procurement..."
"Contracts Manager (Freelance)","£Negotiable","Glasgow","21 November","Contracts Manager (Freelance) Our client, an established and well respected Construction and Fast-Track Fit-Out Contractor have an opening for a Contracts Manager based in their Glasgow Headquarters on a Freelance basis to..."
"Team Member - Night Reception / 44521645","Competitive","Glasgow","21 November","We are looking for a Night Team Member to join our Premier Inn team! Night Team Member - Premier Inn At Premier Inn, every guest wants a great night's sleep - As a Night team member with us, you'll need to..."
"Office Coordinator","Up to £25000.00 per annum","Edinburgh","21 November","Permanent Office Coordinator Job in Edinburgh City Centre Your new company An organisation who takes pride in producing some of Scotland's finest food. They operate exclusively in Scotland..."
"Design Coordinator","Car / Allowance + Bens","Aberdeen","21 November","We have an immediate requirement to appoint Civil Engineering Design Coordinator to join a leading civil engineering contractor with a long history of successful delivery of high value civil engineering projects within highways,..."
"Customer Service Advisor - Nightshift - £22,000","Up to £22000 per annum","Edinburgh","21 November","Do you have a passion for travel? Do you love helping customers every day? Then I have a brand new opportunity just in that could be right up your street! I am currently on the lookout for talented customer service..."
"Buyer","£30,401 - £38,046","Edinburgh","21 November","This is a challenging opportunity to help harness the buying power of more than £2.5 billion spent each year across the NHS in Scotland. PCF, the Procurement Centre of Expertise for Health, works in collaboration with..."
"Customer Service Advisor - £20,000","Up to £20000.00 per annum + Excellent Benefits Package","Edinburgh","21 November","Do you have a passion for travel? Do you love helping customers every day? Then I have a brand new opportunity just in that could be right up your street! I am currently on the lookout for talented customer service..."
"Ground Floor Team Member / 44525005","Competitive","Glasgow","21 November","We are looking for a Team Member to join our Premier Inn! Team Member - Premier Inn At Premier Inn you'll really help lead the way, setting us aside from our competitors - Your welcoming smile, hands on approach and..."
"Grill Chef / 44525005","Competitive","Glasgow","21 November","We are looking for a Kitchen Team Member to join our Premier Inn! Kitchen Team Member - Premier Inn At Premier Inn, every guest wants great food - That's only made possible by our dedicated and organised..."
"Credit Controller","c.£21,000","Glasgow","21 November","Credit Controller Glasgow Initial 3 month contract c.£21,000 Badenoch & Clark is delighted to be working with our client, one of the most diverse and highly regarded not-for profit organisations in Glasgow, to source an..."
"Duty Manager","Competitive","Glasgow","21 November","We are looking for a Duty Manager to join our team at Premier Inn! Duty Manager - Premier Inn At Premier Inn exceptional experiences are created on the ground floor of our hotels - From reception to the restaurant and..."
"Payroll Manager","£30000 - £45000 per annum","Edinburgh","21 November","Payroll Manager Run the weekly and monthly payroll, ensuring all payroll requirements are met. Client Details industry client based in Edinburgh Description Payroll Manager Oversee the payroll function ensuring..."
"Tax Assistant","£ DOE","Edinburgh","21 November","Fyte Recruitment are delighted to be partnering with a leading Scottish legal firm based in Edinburgh city centre and are looking to recruit an experienced and motivated Tax Assistant into their growing team..."
"Team Member - Cleaner Phoenix Park","Competitive","Paisley","21 November","We are looking for a Cleaner to join our Brewers Fayre team! 6 hours a week over 3 days. Early morning shifts, patterns to be discussed. Cleaning Team Member - Brewers Fayre Phoenix Park At Brewers Fayre, we serve our guests..."
"Assembly Technician","£24000-£28000 + Benefits","Edinburgh","21 November","My client is a fast emerging manufacturer of equipment for hazardous environments with a world wide market place. It has a team of backers that have enabled it to develop products that have allowed it to grow by 35% last year and..."
"Apply now","NPD Technologist / Product Development Technologist","Salary: £Competitive +benefits","Location: Glasgow","Date posted: 21 November"
"Application/Database Support (SQL)","£35,000-40,000","Glasgow","21 November","Are you an Application Support Analyst looking for a new and challenging position supporting both internal and external applications? Do you want the opportunity to upskill in cloud environments? Do you have experience..."
